NIT;Fecha de Corte;AÑO;Tipo_empresa;Ingresos Operacionales;Costos de ventas y de prestación de servicios;Otros ingresos;Gastos Operacionales de admon;Otros gastos;Otras ganancias (pérdidas);Ingresos financieros;Costos financieros;Impuesto de renta y complementarios;Gastos Operacionales de venta;Efectivo y equivalentes al efectivo;Clientes CP;Inventarios CP;Otros activos financieros;Propiedad planta y equipo;Deudores LP;Proveedores CP;Obligaciones Financieras CP;Proveedores LP;Obligaciones Financieras LP;Capital Social;Prima de emisión;Reservas;Ganancias acumuladas;Otros Activos Corrientes;Total Activo Corriente;Otros Activos No Corrientes;Total Activo No Corriente;Total Activo;Otros Pasivos Corrientes;Total Pasivo Corriente;Otros pasivos no Corrientes;Total Pasivo No Corriente;Total Pasivo;Otros Patrimonio;Total patrimonio;Total Pasivo mas Patrimonio;Utilidad Bruta;Utilidad Operacional;Otros ingresos o egresos;Utilidad antes de impuestos;Ganancias y pérdidas
811024414;31/12/2020;2020;Pymes;19170315;12064577;112079;1370916;11550;-372;143106;203691;1266049;1;1687423;4861685;3317542;0;5609588;24998;2350223;59119;0;0;40000;0;40000;9462021;0;9866650;71246;5705832;15572482;1547261;3956603;534987;534987;4491590;1789501;11331522;15823112;7105738;5835350;4;5774769;7040818
811024414;31/12/2020;2019;Pymes;17621233;11255555;72891;1548185;375;0;78446;129832;1002798;1;1369039;4367870;2705231;0;5788662;33481;1947288;1205441;0;0;40000;0;40000;8150050;0;8442140;89300;5911443;14353583;943314;4096043;490581;490581;4586624;1789501;10019551;14606175;6365678;4890008;4;4838626;5841424
811024414;31/12/2019;2018;Pymes;14727740;9267167;25895;1265065;517;1;72433;143661;854429;1;776361;4082087;2168286;0;4134216;29661;1702654;18420;0;0;40000;0;40000;8592791;0;7026734;25546;4189423;11216157;873771;2594845;163167;163167;2758012;0;8672791;11430803;5460573;4220885;4;4149661;5004090
816006799;31/12/2020;2020;Plena;285388785;213281832;35312040;17055184;36155458;0;0;0;12943454;18847871;14377832;125892814;35153042;0;39474830;0;41072925;0;24328790;49329333;8964241;0;515490;43021391;1075669;176499357;1411732;40886562;217385919;22471819;63544744;12179342;85837465;149382209;16129425;68630547;218012756;72106953;35360480;0;35360480;48303934
816006799;31/12/2020;2019;Plena;213710578;162870416;16440333;11577418;28603828;0;0;0;6202938;10025317;17265054;103469656;47717161;0;39414466;0;30731851;43174926;22050226;45428564;8964241;0;515490;20604365;1071570;169523441;5213750;44628216;214151657;15437321;89344098;12441840;79920630;169264728;16129425;46213521;215478249;50840162;17073932;0;17073932;23276870
816006799;31/12/2019;2018;Plena;134144334;109279874;1;21735409;15438594;40991340;1;1;1;10561850;2679508;50347132;36187070;1;38813170;1;18699165;3733807;14578402;42573744;8964241;1;1;23343227;2;89213713;12948412;51761583;140975296;12685472;35118444;14241511;71393657;106512101;2561663;34869133;141381234;24864460;-22871392;4;-22871388;-22871387
817002676;31/12/2020;2020;Plena;323519784;335020533;0;8240020;912381;7077506;0;7696622;3486334;1;2308946;30534762;50253902;0;302876219;0;162690504;1632322;0;0;126245411;0;47687212;56727004;40013915;123111525;0;302876219;425987744;13673447;177996273;22315974;22315974;200312247;0;230659627;430971874;-11500749;-20653151;0;-28349773;-24863439
817002676;31/12/2020;2019;Plena;368113175;341700697;0;8125506;626776;5448703;1157304;2610425;10359764;1;2947745;30917904;37942349;0;312752699;0;98676911;591205;0;0;126245411;0;47687212;97200976;14783243;86591241;0;312752699;399343940;15285295;114553411;20158250;20158250;134711661;0;271133599;405845260;26412478;17660195;0;16207074;26566838
817002676;31/12/2019;2018;Plena;347658345;305244888;1;12154654;1704429;5753366;2321193;229735;5247534;12969344;12893319;26615784;33995263;376894;290960090;1;77773024;1;1;1;126245411;1;45869180;101644557;10344281;84225541;9;290960100;375185641;18142574;95915599;11371537;11371539;107287138;4;273759153;381046291;42413457;15585031;4;17676493;22924027
817002925;31/12/2020;2020;Pymes;3280923;2180521;187387;454967;74192;0;792;201293;38625;1;360778;1627402;551457;0;1920677;0;380917;691808;0;1131814;322400;0;730931;1437524;604473;3144110;16869;1937546;5081656;441295;1514020;52609;1184423;2698443;0;2490855;5189298;1100402;758629;4;558132;596757
