NIT;AÑO;K DE W / VENTAS;CAPITAL DE TRABAJO;RAZON CORRIENTE;PRUEBA ACIDA;DIAS INVENTARIO;DIAS CARTERA;DIAS PROVEEDORES;ENDEUDAMIENTO TOTAL;ENDEUDAMIENTO FINANCIERO;MARGEN BRUTO;MARGEN OPERACIONAL;MARGEN NETO
830041598;2018;60;63362180.0;4.1;2.9;158;187;113;12.6;0.0;36.8;5.2;15.5
830071212;2020;22;1784261.0;2.0;1.2;95;85;100;50.3;12.0;19.7;12.1;12.4
830071212;2019;31;2175989.0;2.1;1.0;127;92;102;51.3;16.4;17.4;9.5;10.3
830071212;2018;30;2186947.0;2.3;1.3;117;88;88;47.3;22.7;22.9;15.5;16.7
830071604;2020;22;12394571.0;2.4;1.9;49;103;79;28.0;12.8;23.9;19.3;23.8
830071604;2019;20;11133607.0;2.0;1.6;40;95;69;30.7;14.5;22.3;17.6;22.2
830071604;2018;13;7329139.0;1.6;1.2;40;92;90;36.9;13.8;15.7;12.3;14.1
830075451;2020;-12;-6825707.0;1.3;0.9;45;17;117;43.5;10.4;15.4;11.2;11.8
830075451;2019;-4;-2656720.0;1.3;0.7;51;5;79;37.3;15.7;22.1;14.8;15.4
830075451;2018;-1;-1032361.0;1.1;0.5;54;3;66;40.8;18.2;22.3;14.3;14.0
830080150;2020;22;7650931.0;1.9;1.3;79;89;91;51.6;3.8;28.8;25.3;31.6
830080150;2019;24;7964649.0;1.4;0.7;123;86;119;71.4;20.8;28.2;23.8;25.8
830080150;2018;26;6535401.0;1.2;0.7;133;95;131;80.7;39.5;26.5;20.6;20.1
830092963;2020;17;64542389.0;2.6;1.9;62;61;62;40.1;43.9;25.8;11.6;14.4
830092963;2019;31;106918657.0;1.6;0.7;159;74;108;57.2;44.5;24.9;16.0;20.6
830092963;2018;22;45964641.0;1.6;1.0;119;159;217;60.4;29.1;20.4;9.1;13.1
830098290;2020;47;57783574.0;1.8;0.4;203;5;14;36.1;79.3;12.4;18.5;20.8
830098290;2019;37;46274254.0;1.2;0.7;174;5;29;65.1;89.6;9.5;8.4;9.9
830098290;2018;38;39256769.0;1.2;0.7;214;7;69;63.2;78.7;9.1;6.7;8.2
830103701;2020;93;17946937.0;6.6;5.8;88;339;91;8.1;13.7;24.3;7.1;10.4
830103701;2019;28;14152960.0;3.7;3.4;32;142;89;15.7;2.0;30.4;20.4;28.5
830103701;2018;43;17915916.0;2.3;1.8;70;180;105;25.1;36.1;27.9;18.3;25.7
830105213;2020;10;321048.0;2.5;2.2;43;117;145;39.9;0.0;23.5;14.6;18.5
830105213;2019;26;879498.0;2.4;1.9;60;84;46;44.1;47.0;24.8;14.0;17.9
860000135;2020;-6;-22215332.0;0.9;0.6;37;21;96;72.8;37.6;25.1;23.2;19.1
860000135;2019;-1;-3646564.0;0.9;0.5;42;33;97;69.3;35.5;29.8;27.1;22.2
860000135;2018;1;2559464.0;0.7;0.4;44;37;94;77.0;42.9;32.3;8.9;3.8
860000452;2020;75;470604091.0;1.8;1.1;177;156;38;47.9;71.5;17.8;14.6;14.0
860000452;2019;62;486193285.0;1.7;0.9;161;129;46;48.0;61.5;18.4;14.7;13.4
860000452;2018;81;557877824.0;1.5;0.7;214;156;53;61.3;73.7;14.7;1.9;-1.2
860000896;2020;3;11929407.0;1.0;0.7;71;52;146;53.6;0.0;47.3;39.9;46.7
860000896;2019;3;12740249.0;1.0;0.6;64;50;136;58.2;0.0;46.4;40.6;47.9
860000896;2018;8;31735354.0;1.3;0.7;110;56;156;53.2;0.0;45.6;14.4;15.6
860001963;2020;30;48512196.0;1.1;0.6;151;85;118;39.0;52.8;28.1;3.1;-1.1
860001963;2019;31;56416887.0;1.1;0.6;131;79;86;42.9;58.0;26.5;5.9;1.9
860001963;2018;33;55107519.0;1.0;0.5;145;83;98;43.6;57.4;24.7;5.3;0.3
860001965;2020;36;90020148.0;2.0;1.0;176;80;106;58.0;23.1;29.5;1.8;1.4
860001965;2019;39;113040177.0;2.0;0.9;191;93;116;54.3;14.7;34.3;3.2;5.7
860001965;2018;46;119924366.0;2.0;0.8;238;103;135;54.4;14.0;37.3;4.2;5.7
860002067;2020;28;51572376.0;1.5;0.9;127;69;83;38.5;45.3;24.3;15.5;17.5
860002067;2019;33;70085080.0;2.4;1.2;131;73;66;31.1;31.5;26.0;16.9;18.5
860002067;2018;31;63894449.0;2.6;1.5;124;77;76;33.4;33.2;25.9;7.9;9.8
860002518;2020;0;6581428.0;1.4;1.4;0;39;54;49.3;0.0;31.4;2.4;3.9
860002518;2019;4;64922395.0;1.4;1.4;0;72;84;52.3;0.0;34.4;7.4;10.5
860002518;2018;5;79699420.0;1.4;1.4;0;77;92;52.4;0.0;39.2;12.1;17.6
860006127;2020;5;9242777.0;1.4;1.0;39;55;82;37.1;15.5;17.8;14.4;16.1
860006127;2019;8;15093324.0;1.6;1.1;36;59;74;34.1;9.4;23.3;19.3;22.1
860006127;2018;5;8717381.0;1.4;1.1;31;57;81;35.6;9.7;25.0;20.8;23.9
860006853;2020;17;31062343.0;1.5;1.0;65;83;92;51.6;50.1;19.9;16.0;11.9
860006853;2019;23;49873085.0;1.2;0.7;90;79;83;60.2;56.9;12.8;9.4;5.9
860006853;2018;30;61929984.0;1.3;0.7;96;91;75;58.2;59.4;9.9;-2.1;-4.8
860006965;2020;20;13131756.0;2.0;1.4;97;89;122;52.7;65.5;34.3;18.2;18.3
860006965;2019;17;12664675.0;1.8;1.3;79;84;109;56.1;68.6;35.3;16.7;15.7
860006965;2018;30;19609955.0;2.0;1.4;96;112;101;56.1;73.8;33.1;11.6;9.3
860007955;2020;22;120465569.0;1.7;1.1;121;109;167;58.8;42.6;36.5;10.9;10.5
860007955;2019;22;116015292.0;1.7;1.1;104;117;159;59.7;42.6;35.8;10.6;11.4
860007955;2018;12;66919063.0;1.4;0.9;122;89;189;67.6;42.1;35.0;10.0;10.1
860013715;2019;11;2821796.0;2.2;1.3;162;107;266;67.6;25.2;36.9;13.6;20.3
